app_name,release_date,item_id,precio
Lost Summoner Kitty,2018-01-04,761140,4.99
Ironbound,2018-01-04,643980,0.0
Real Pool 3D - Poolians,2017-07-24,670290,0.0
弹炸人2222,2017-12-07,767400,0.99
Battle Royale Trainer,2018-01-04,772540,3.99
SNOW - All Access Basic Pass,2018-01-04,774276,9.99
SNOW - All Access Pro Pass,2018-01-04,774277,18.99
SNOW - All Access Legend Pass,2018-01-04,774278,29.99
Race,2018-01-04,768800,0.0
Uncanny Islands,1900-01-01,768570,0.0
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,770380,10.99
Beach Rules,2018-01-04,768880,3.99
Planetarium 2 - Zen Odyssey,2018-01-03,765320,2.99
The first thrust of God,2018-01-03,773650,1.59
SNOW - Starter Pack,2018-01-03,774271,14.99
The first thrust of God - All Aircrafts,2018-01-03,773690,1.99
SNOW - Lifetime Pack,2018-01-03,774279,59.99
The Warrior Of Treasures,2018-01-03,768060,0.99
RC Plane 3 - Canyon Scenario,2017-12-22,775880,2.99
RC Plane 3 - F-53B,2017-12-23,775881,2.99
DinoBlaster,2018-01-03,653960,4.99
Robotpencil Presents: Understanding 3D for Concept,2018-01-03,777910,4.99
Carmageddon Max Pack,1997-06-30,282010,9.99
Half-Life,1998-11-08,70,9.99
Fallen Mage,2016-11-25,752360,1.99
Lost Cities,2018-01-01,520680,0.0
Twisted Enhanced Edition,2018-01-01,690410,0.0
Vaporwave Simulator,2018-01-01,766850,0.99
Tactics Forever,2018-01-01,413120,0.0
Christmas Santa Troubles,2017-12-30,773120,0.0
Underdone - Soundtrack,2018-01-01,754360,8.99
Bitcoin Clicker,2018-01-01,716110,0.99
Disciples II: Gallean's Return,2006-07-06,1640,6.99
Disciples II: Rise of the Elves,2006-07-06,1630,6.99
The Ship: Murder Party,2006-07-11,2400,9.99
United Tactics,1900-01-01,662570,0.0
Life of Rome,2017-01-01,381620,0.0
Idle Adventure,1900-01-01,714020,0.0
Souland,2017-12-29,759920,7.99
Darkness and a Crowd,2018-03-30,659780,0.0
TAROTICA VOO DOO,2017-12-29,603280,10.99
Chronicles of Vinland,2017-12-29,753110,9.99
Orbitality,2017-12-29,753100,9.99
Atomic Adam: Episode 1,2017-12-30,764280,1.99
Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,758550,0.99
Advent Rising,2005-08-09,3800,9.99
DEFCON,2006-09-29,1520,9.99
The Ship: Single Player,2006-11-20,2420,9.99
Garry's Mod,2006-11-29,4000,9.99
RACE - The WTCC Game,2006-11-24,4230,39.99
Zen of Sudoku,2006-12-14,4900,0.0
Gumboy - Crazy Adventures™,2006-12-19,2520,4.99
Ghost Master®,2003-08-23,6200,4.99
Vegas: Make It Big™,2006-12-21,6210,4.99
Dreamfall: The Longest Journey,2006-04-17,6300,19.99
FlatOut 2™,2006-08-01,2990,9.99
FlatOut,2005-07-12,6220,7.49
Lost Planet™: Extreme Condition,2007-06-26,6510,14.99
CivCity: Rome,2006-07-24,3980,9.99
Arx Fatalis,2002-11-12,1700,4.99
The Longest Journey,2000-11-17,6310,9.99
Civilization IV®: Warlords,2006-07-24,3990,4.99
Railroad Tycoon 3,2003-10-23,7610,9.99
Sid Meier's Railroads!,2006-10-16,7600,9.99
Railroad Tycoon II Platinum,1998-10-31,7620,4.99
RIP - Trilogy™,2007-06-01,2540,4.99
X-COM: Terror From the Deep,1995-04-01,7650,4.99
Tomb Raider: Anniversary,2007-06-05,8000,8.99
Devil May Cry® 3 Special Edition,2006-05-23,6550,19.99
Sam & Max 101: Culture Shock,2006-10-17,8200,19.99
Final DOOM,1996-06-17,2290,4.99
Vigil: Blood Bitterness™,2007-06-29,2570,0.0
Sam & Max 102: Situation: Comedy,2006-12-20,8210,19.99
Ultimate Doom,1995-04-30,2280,4.99
Master Levels for Doom II,1995-06-01,9160,14.99
DOOM II,1994-05-05,2300,4.99
Wolfenstein 3D,1994-08-03,2270,4.99
Return to Castle Wolfenstein,2001-11-20,9010,4.99
QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,9040,2.99
Spear of Destiny,1993-10-10,9000,2.99
BloodRayne,2003-09-09,3810,9.99
QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,9030,2.99
QUAKE,2007-05-31,2310,4.99
Genesis Rising,2007-03-20,3230,4.99
"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,9310,12.99
BioShock™,2007-08-21,7670,19.99
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,4570,12.99
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,4580,12.99
Rome: Total War™ - Collection,2004-09-22,4760,9.99
Rome: Total War™ - Alexander,2006-06-26,4770,4.99
Mystery Case Files: Madame Fate®,2007-12-14,50970,6.99
Grand Theft Auto,1998-06-30,12170,0.0
Grand Theft Auto 2,1999-10-25,12180,0.0
Manhunt,2004-04-20,12130,9.99
Midnight Club 2,2003-07-01,12160,9.99
Max Payne 2: The Fall of Max Payne,2003-10-14,12150,9.99
Tomb Raider: Legend,2006-04-07,7000,6.99
Max Payne,2001-07-25,12140,9.99
Command & Conquer: Red Alert 3,2008-10-28,17480,19.99
PuzzleQuest: Challenge of the Warlords,2007-10-10,12500,9.99
Culpa Innata,2007-10-23,12310,9.99
Prison Tycoon 3™: Lockdown,2007-08-01,12510,9.99
Hunting Unlimited™ 2008,2007-09-01,12530,9.99
18 Wheels of Steel: American Long Haul,2007-12-03,12520,9.99
Conflict: Denied Ops,2008-02-08,8100,5.99
ARMA: Combat Operations,2007-05-08,2780,7.99
Tycoon City: New York,2006-02-21,9730,9.99
Desperados 2: Cooper's Revenge,2006-05-02,9710,9.99
Death to Spies,2007-10-16,9800,4.99
Act of War: High Treason,2006-05-30,9760,2.99
RollerCoaster Tycoon® 3: Platinum,2006-10-26,2700,19.99
Act of War: Direct Action,2005-03-14,2710,2.99
Unreal 2: The Awakening,2003-02-03,13200,14.99
Unreal Gold,1998-04-30,13250,9.99
Ninja Reflex: Steamworks Edition,2008-03-21,13000,4.99
Tom Clancy's Splinter Cell®,2003-02-18,13560,9.99
Far Cry®,2004-03-23,13520,9.99
Unreal Tournament: Game of the Year Edition,2000-10-25,13240,9.99
Tom Clancy's Rainbow Six® Vegas,2006-12-12,13540,9.99
Silent Hunter® III,2005-03-15,15210,9.99
Virtual Villagers - The Secret City,2008-05-28,16180,9.99
Mystery P.I.™ - The Vegas Heist,2008-06-04,3520,4.99
Luxor,2008-06-10,15970,9.99
Reaxxion,2008-06-10,15950,9.99
