app_name,release_date,id,precios
Lost Summoner Kitty,2018-01-04,761140,1
Ironbound,2018-01-04,643980,0
Real Pool 3D - Poolians,2017-07-24,670290,0
弹炸人2222,2017-12-07,767400,1
Battle Royale Trainer,2018-01-04,772540,1
SNOW - All Access Basic Pass,2018-01-04,774276,2
SNOW - All Access Pro Pass,2018-01-04,774277,3
SNOW - All Access Legend Pass,2018-01-04,774278,3
Race,2018-01-04,768800,0
Uncanny Islands,1900-01-01,768570,0
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,770380,2
Beach Rules,2018-01-04,768880,1
Planetarium 2 - Zen Odyssey,2018-01-03,765320,1
The first thrust of God,2018-01-03,773650,1
SNOW - Starter Pack,2018-01-03,774271,2
The first thrust of God - All Aircrafts,2018-01-03,773690,1
SNOW - Lifetime Pack,2018-01-03,774279,3
The Warrior Of Treasures,2018-01-03,768060,1
RC Plane 3 - Canyon Scenario,2017-12-22,775880,1
RC Plane 3 - F-53B,2017-12-23,775881,1
DinoBlaster,2018-01-03,653960,1
Robotpencil Presents: Understanding 3D for Concept,2018-01-03,777910,1
Carmageddon Max Pack,1997-06-30,282010,2
Half-Life,1998-11-08,70,2
Fallen Mage,2016-11-25,752360,1
Lost Cities,2018-01-01,520680,0
Twisted Enhanced Edition,2018-01-01,690410,0
Vaporwave Simulator,2018-01-01,766850,1
Tactics Forever,2018-01-01,413120,0
Christmas Santa Troubles,2017-12-30,773120,0
Underdone - Soundtrack,2018-01-01,754360,2
Bitcoin Clicker,2018-01-01,716110,1
Disciples II: Gallean's Return,2006-07-06,1640,2
Disciples II: Rise of the Elves,2006-07-06,1630,2
The Ship: Murder Party,2006-07-11,2400,2
United Tactics,1900-01-01,662570,0
Life of Rome,2017-01-01,381620,0
Idle Adventure,1900-01-01,714020,0
Souland,2017-12-29,759920,2
Darkness and a Crowd,2018-03-30,659780,0
TAROTICA VOO DOO,2017-12-29,603280,2
Chronicles of Vinland,2017-12-29,753110,2
Orbitality,2017-12-29,753100,2
Atomic Adam: Episode 1,2017-12-30,764280,1
Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,758550,1
Advent Rising,2005-08-09,3800,2
DEFCON,2006-09-29,1520,2
The Ship: Single Player,2006-11-20,2420,2
Garry's Mod,2006-11-29,4000,2
RACE - The WTCC Game,2006-11-24,4230,3
Zen of Sudoku,2006-12-14,4900,0
Gumboy - Crazy Adventures™,2006-12-19,2520,1
Ghost Master®,2003-08-23,6200,1
Vegas: Make It Big™,2006-12-21,6210,1
Dreamfall: The Longest Journey,2006-04-17,6300,3
FlatOut 2™,2006-08-01,2990,2
FlatOut,2005-07-12,6220,2
Lost Planet™: Extreme Condition,2007-06-26,6510,2
CivCity: Rome,2006-07-24,3980,2
Arx Fatalis,2002-11-12,1700,1
The Longest Journey,2000-11-17,6310,2
Civilization IV®: Warlords,2006-07-24,3990,1
Railroad Tycoon 3,2003-10-23,7610,2
Sid Meier's Railroads!,2006-10-16,7600,2
Railroad Tycoon II Platinum,1998-10-31,7620,1
RIP - Trilogy™,2007-06-01,2540,1
X-COM: Terror From the Deep,1995-04-01,7650,1
Tomb Raider: Anniversary,2007-06-05,8000,2
Devil May Cry® 3 Special Edition,2006-05-23,6550,3
Sam & Max 101: Culture Shock,2006-10-17,8200,3
Final DOOM,1996-06-17,2290,1
Vigil: Blood Bitterness™,2007-06-29,2570,0
Sam & Max 102: Situation: Comedy,2006-12-20,8210,3
Ultimate Doom,1995-04-30,2280,1
Master Levels for Doom II,1995-06-01,9160,2
DOOM II,1994-05-05,2300,1
Wolfenstein 3D,1994-08-03,2270,1
Return to Castle Wolfenstein,2001-11-20,9010,1
QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,9040,1
Spear of Destiny,1993-10-10,9000,1
BloodRayne,2003-09-09,3810,2
QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,9030,1
QUAKE,2007-05-31,2310,1
Genesis Rising,2007-03-20,3230,1
"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,9310,2
BioShock™,2007-08-21,7670,3
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,4570,2
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,4580,2
Rome: Total War™ - Collection,2004-09-22,4760,2
Rome: Total War™ - Alexander,2006-06-26,4770,1
Mystery Case Files: Madame Fate®,2007-12-14,50970,2
Grand Theft Auto,1998-06-30,12170,0
Grand Theft Auto 2,1999-10-25,12180,0
Manhunt,2004-04-20,12130,2
Midnight Club 2,2003-07-01,12160,2
Max Payne 2: The Fall of Max Payne,2003-10-14,12150,2
Tomb Raider: Legend,2006-04-07,7000,2
Max Payne,2001-07-25,12140,2
Command & Conquer: Red Alert 3,2008-10-28,17480,3
PuzzleQuest: Challenge of the Warlords,2007-10-10,12500,2
Culpa Innata,2007-10-23,12310,2
Prison Tycoon 3™: Lockdown,2007-08-01,12510,2
Hunting Unlimited™ 2008,2007-09-01,12530,2
18 Wheels of Steel: American Long Haul,2007-12-03,12520,2
Conflict: Denied Ops,2008-02-08,8100,2
ARMA: Combat Operations,2007-05-08,2780,2
Tycoon City: New York,2006-02-21,9730,2
Desperados 2: Cooper's Revenge,2006-05-02,9710,2
Death to Spies,2007-10-16,9800,1
Act of War: High Treason,2006-05-30,9760,1
RollerCoaster Tycoon® 3: Platinum,2006-10-26,2700,3
Act of War: Direct Action,2005-03-14,2710,1
Unreal 2: The Awakening,2003-02-03,13200,2
Unreal Gold,1998-04-30,13250,2
Ninja Reflex: Steamworks Edition,2008-03-21,13000,1
Tom Clancy's Splinter Cell®,2003-02-18,13560,2
Far Cry®,2004-03-23,13520,2
Unreal Tournament: Game of the Year Edition,2000-10-25,13240,2
Tom Clancy's Rainbow Six® Vegas,2006-12-12,13540,2
Silent Hunter® III,2005-03-15,15210,2
Virtual Villagers - The Secret City,2008-05-28,16180,2
Mystery P.I.™ - The Vegas Heist,2008-06-04,3520,1
Luxor,2008-06-10,15970,2
Reaxxion,2008-06-10,15950,2
Little Farm,2008-06-10,15960,2
7 Wonders II,2008-06-10,15900,2
Luxor Amun Rising,2005-12-08,15910,2
Luxor 3,2007-11-13,15930,2
Petz® Horsez® 2,2007-11-13,15160,2
Luxor 2,2005-12-08,15920,2
Rayman Raving Rabbids™,2007-03-27,15080,2
Silent Hunter®: Wolves of the Pacific,2007-03-20,15200,2
IL-2 Sturmovik: 1946,2006-12-15,15320,2
Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,15240,2
Bone: Out From Boneville,2005-09-15,8310,2
Midnight Outlaw: 6 Hours to SunUp,2005-07-02,12600,2
Bone: The Great Cow Race,2006-04-12,8320,2
Sprint Cars Road to Knoxville,2008-07-29,12590,2
Dr. Daisy Pet Vet,2008-01-08,12580,2
Ride! Carnival Tycoon,2007-07-02,12560,2
Hot Dish,2008-01-12,12570,2
Mahjongg Investigations: Under Suspicion,2007-08-08,12540,2
Dracula Origin,2008-05-20,11050,2
Beijing 2008™ - The Official Video Game of the Olympic Games,2008-07-08,10520,0
Sherlock Holmes - Nemesis,2008-04-14,11040,2
Eternity's Child,2008-07-31,19500,1
Pacific Storm Allies,2007-05-25,11260,2
Tank Universal,2008-08-21,19200,1
FlatOut: Ultimate Carnage,2008-08-19,12360,3
Oddworld: Abe's Exoddus®,1998-11-17,15710,1
Oddworld: Abe's Oddysee®,1997-12-12,15700,1
GTR Evolution Expansion Pack for RACE 07,2008-09-01,8660,2
X-COM: Enforcer,2001-04-19,7770,1
X-COM: Apocalypse,1997-07-15,7660,1
X-COM: UFO Defense,1993-12-31,7760,1
S.T.A.L.K.E.R.: Clear Sky,2008-09-15,20510,2
Crysis Warhead®,2008-09-17,17330,3
Crysis,2007-11-13,17300,3
X-COM: Interceptor,1998-06-15,7730,1
The Witcher: Enhanced Edition Director's Cut,2008-09-16,20900,2
Multiwinia,2008-09-19,1530,2
STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,8690,1
Children of the Nile: Alexandria,2008-08-28,17120,1
Sid Meier's Civilization IV: Colonization,2008-09-23,16810,3
Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,19830,2
LEGO Batman,2008-09-29,21000,3
City Life 2008,2008-07-18,4460,2
Hinterland,2008-09-30,17140,2
Brothers in Arms: Hell's Highway™,2008-10-08,15390,2
Gravitron 2,2008-08-31,21300,1
Xpand Rally Xtreme,2006-12-01,3050,1
Heroes of Might & Magic V: Hammers of Fate,2006-11-14,15380,2
Brothers in Arms: Earned in Blood™,2005-10-04,19800,2
Heroes of Might & Magic V: Tribes of the East,2007-10-16,15370,2
The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,19930,3
Brain Spa,2007-09-25,15350,2
The Sum of All Fears,2002-05-31,19810,2
Peggle™ Nights,2008-10-15,3540,1
World of Goo,2008-10-13,22000,2
X3: Terran Conflict,2008-10-16,2820,3
Mare Nostrum,2008-10-17,1230,0
Spectraball,2008-10-20,18300,1
Galactic Bowling,2008-10-21,20200,3
Bully: Scholarship Edition,2008-10-21,12200,2
Far Cry® 2: Fortune's Edition,2008-10-22,19900,2
Space Trader: Merchant Marine,2008-10-23,11240,1
PRR Wagon Pack 01,2009-01-01,256522,1
"Class 421 London South East ""Jaffa Cake""",2009-01-01,275144,1
ATSF Wagon Pack 01,2009-01-01,256521,1
GP20 Union Pacific Add-on Livery,2009-01-01,222569,1
UK Van Wagon Pack,2009-01-01,256535,1
CSX SD70MAC Add-on Livery,2009-01-01,256611,1
CSX ES44AC Add-on Livery,2009-01-01,256576,1
