user_id,posted,item_id,recommend,sentiment_analysis
76561197970982479,2011.0,1250,True,2
76561197970982479,2011.0,22200,True,2
76561197970982479,2011.0,43110,True,2
js41637,2014.0,251610,True,2
js41637,2013.0,227300,True,2
js41637,2013.0,239030,True,2
evcentric,2015.0,370360,True,2
evcentric,2014.0,237930,True,2
evcentric,2014.0,263360,True,1
evcentric,2014.0,107200,True,2
evcentric,2014.0,224500,True,2
doctr,2013.0,250320,True,2
doctr,2012.0,20920,True,2
doctr,2012.0,204100,True,2
doctr,2014.0,224600,True,2
doctr,2012.0,207610,True,0
doctr,2012.0,108710,True,2
maplemage,2014.0,211420,True,1
maplemage,2013.0,211820,True,2
maplemage,2014.0,730,True,2
maplemage,2013.0,204300,True,2
Wackky,2014.0,249130,True,1
Wackky,2012.0,207610,True,1
Wackky,2012.0,550,True,2
Wackky,2012.0,65800,True,2
Wackky,2012.0,220,True,2
76561198089393905,2015.0,72850,True,0
76561198089393905,2014.0,440,True,1
76561198077246154,2014.0,304930,True,1
WeiEDKrSat,2013.0,4000,True,1
thequeenpanda,2012.0,42910,True,1
death-hunter,2015.0,232090,True,2
death-hunter,2015.0,1250,True,2
death-hunter,2014.0,4000,True,2
DJKamBer,2014.0,304930,True,2
DJKamBer,2013.0,570,True,2
DJKamBer,2015.0,218620,True,2
DJKamBer,2013.0,224260,True,2
DJKamBer,2013.0,1250,True,0
DJKamBer,2012.0,440,True,2
Rainbow-Dashie,2015.0,730,True,2
Rainbow-Dashie,2014.0,440,True,2
Rainbow-Dashie,2014.0,49520,True,1
76561198043472122,2014.0,33440,False,1
MarbleShrine,2015.0,220200,True,2
PPanther,2014.0,211820,True,2
devvonst,2014.0,440,True,2
devvonst,2014.0,218740,True,2
devvonst,2015.0,550,True,2
starkillershadow553,2015.0,238090,True,0
starkillershadow553,2014.0,277430,True,2
76561198058373434,2015.0,8870,True,2
76561198048353577,2015.0,368230,True,0
76561198048353577,2013.0,33930,True,2
76561198066046412,2015.0,359320,False,0
76561198066046412,2015.0,219640,True,2
tru_mu_,2015.0,287980,True,2
76561198070565427,2015.0,208090,True,2
76561198070565427,2014.0,242700,True,1
76561198070565427,2014.0,570,False,1
76561198070565427,2014.0,224260,True,1
SavageEeEe,2015.0,221100,True,2
76561198076909484,2014.0,570,True,2
KanadeTheNeko,2014.0,331470,True,2
KanadeTheNeko,2014.0,4000,True,2
GoAwayZach,2014.0,304930,True,2
76561198054540475,2015.0,12210,True,0
76561198054540475,2014.0,265210,True,1
76561198054540475,2014.0,48700,True,2
76561198061252210,2015.0,730,True,2
OfficialShroomsy,2013.0,113200,True,2
boydeer,2014.0,440,True,1
boydeer,2015.0,383080,False,1
VVillis,2015.0,213670,True,1
76561198083226897,2015.0,105600,True,1
76561198075277292,2015.0,730,True,0
76561198075277292,2015.0,570,True,2
76561198028895010,2013.0,231180,True,2
76561198028895010,2012.0,620,True,2
diego9031,2015.0,223710,True,1
diego9031,2015.0,299360,True,1
diego9031,2015.0,322330,True,1
diego9031,2015.0,1250,True,1
diego9031,2015.0,12100,True,1
diego9031,2015.0,204360,True,2
diego9031,2013.0,440,True,1
diego9031,2013.0,224260,True,2
jarrodtrim,2012.0,440,True,2
76561198067936203,2015.0,440,True,2
76561198079770573,2015.0,1840,True,1
76561198087586464,2013.0,440,True,2
Derp-e,2015.0,440,True,2
76561198070194565,2014.0,233250,True,1
76561198070194565,2015.0,248570,True,1
Rivtex,2015.0,298630,True,1
UTNerd24,2014.0,244210,True,2
UTNerd24,2015.0,440,True,1
UTNerd24,2015.0,376920,True,2
UTNerd24,2015.0,257750,True,2
UTNerd24,2014.0,221910,True,1
UTNerd24,2013.0,2280,True,0
sandwiches1,2015.0,417860,False,1
76561198138053270,2014.0,218620,True,2
lucaswerg,2014.0,218620,True,2
lucaswerg,2014.0,222880,True,1
Life-Of-Blu,2015.0,377160,True,2
Life-Of-Blu,2013.0,211820,True,2
CaptianAutismo,2015.0,252490,True,0
76561198075895633,2014.0,440,True,2
kube134,2014.0,251990,True,2
iamthekingofbrowntown,2015.0,344760,False,0
iamthekingofbrowntown,2015.0,252950,True,1
iamthekingofbrowntown,2015.0,399730,True,2
yookobz,2013.0,219150,True,2
yookobz,2014.0,277430,True,2
Posiblydead,2014.0,239820,True,2
Posiblydead,2012.0,17410,True,2
Posiblydead,2015.0,440,True,2
Mossy_Gaming,2015.0,270550,True,2
76561198102421718,2015.0,274940,True,2
